sub_category,total_sales,total_profit,profit_margin_pct
Tables,208020.18,-17753.21,-8.53
Bookcases,115361.2,-3632.07,-3.15
Supplies,46725.5,-1171.39,-2.51
Fasteners,8532.24,2428.64,28.46
Machines,189925.03,3461.98,1.82
Labels,12695.04,5572.78,43.9
Art,27659.01,6653.2,24.05
Envelopes,16528.36,6988.02,42.28
Furnishings,95598.13,13891.74,14.53
Appliances,108213.18,18329.48,16.94
Storage,224644.55,21285.11,9.48
Chairs,335768.25,27223.53,8.11
Binders,207354.88,31426.1,15.16
Paper,79540.54,34511.51,43.39
Accessories,167380.32,41936.64,25.05
Phones,331842.64,45050.83,13.58
Copiers,150745.29,56093.94,37.21
