sub_category,avg_discount_pct,total_sales,total_profit,profit_margin_pct
Binders,36.91,207354.88,31426.1,15.16
Machines,30.43,189925.03,3461.98,1.82
Tables,25.81,208020.18,-17753.21,-8.53
Bookcases,21.53,115361.2,-3632.07,-3.15
Chairs,16.92,335768.25,27223.53,8.11
Appliances,16.46,108213.18,18329.48,16.94
Copiers,15.71,150745.29,56093.94,37.21
Phones,15.26,331842.64,45050.83,13.58
Furnishings,13.81,95598.13,13891.74,14.53
Envelopes,7.97,16528.36,6988.02,42.28
Fasteners,7.86,8532.24,2428.64,28.46
Accessories,7.85,167380.32,41936.64,25.05
Supplies,7.6,46725.5,-1171.39,-2.51
Storage,7.51,224644.55,21285.11,9.48
Art,7.5,27659.01,6653.2,24.05
Paper,7.5,79540.54,34511.51,43.39
Labels,7.09,12695.04,5572.78,43.9
